Year,Month,Value
1959 , 0.03 , 315.98 
1960 ,-0.02 , 316.91 
1961 , 0.06 , 317.64 
1962 , 0.03 , 318.45 
1963 , 0.05 , 318.99 
1964 ,-0.20 , 319.62 
1965 ,-0.11 , 320.04 
1966 ,-0.06 , 321.37 
1967 ,-0.02 , 322.18 
1968 ,-0.08 , 323.05 
1969 , 0.05 , 324.62 
1970 , 0.03 , 325.68 
1971 ,-0.08 , 326.32 
1972 , 0.01 , 327.46 
1973 , 0.16 , 329.68 
1974 ,-0.07 , 330.19 
1975 ,-0.01 , 331.12 
1976 ,-0.10 , 332.03 
1977 , 0.18 , 333.84 
1978 , 0.07 , 335.41 
1979 , 0.16 , 336.84 
1980 , 0.26 , 338.76 
1981 , 0.32 , 340.12 
1982 , 0.14 , 341.48 
1983 , 0.31 , 343.15 
1984 , 0.16 , 344.85 
1985 , 0.12 , 346.35 
1986 , 0.18 , 347.61 
1987 , 0.32 , 349.31 
1988 , 0.39 , 351.69 
1989 , 0.27 , 353.20 
1990 , 0.45 , 354.45 
1991 , 0.41 , 355.70 
1992 , 0.22 , 356.54 
1993 , 0.23 , 357.21 
1994 , 0.32 , 358.96 
1995 , 0.45 , 360.97 
1996 , 0.33 , 362.74 
1997 , 0.46 , 363.88 
1998 , 0.61 , 366.84 
1999 , 0.38 , 368.54 
2000 , 0.39 , 369.71 
2001 , 0.54 , 371.32 
2002 , 0.63 , 373.45 
2003 , 0.62 , 375.98 
2004 , 0.54 , 377.70 
2005 , 0.68 , 379.98 
2006 , 0.64 , 382.09 
2007 , 0.67 , 384.03 
2008 , 0.54 , 385.83 
2009 , 0.66 , 387.64 
2010 , 0.72 , 390.10 
2011 , 0.61 , 391.85 
2012 , 0.64 , 394.06 
2013 , 0.68 , 396.74 
2014 , 0.75 , 398.87 
2015 , 0.90 , 401.01 
2016 , 1.01 , 404.41 
2017 , 0.92 , 406.76 
2018 , 0.85 , 408.72 
2019 , 0.98 , 411.66 
